攻击开始,时间戳：1739515337573 ms,模式：1,目标值：4910573,持续时间：39秒
攻击结束,时间戳：1739515376586 ms

攻击开始,时间戳：1739515377586 ms,模式：2,目标值：5055760,持续时间：22秒
攻击结束,时间戳：1739515399594 ms

攻击开始,时间戳：1739515400594 ms,模式：1,目标值：4867422,持续时间：33秒
攻击结束,时间戳：1739515433606 ms

攻击开始,时间戳：1739515434606 ms,模式：3,目标值：2231104,持续时间：35秒
攻击结束,时间戳：1739515469618 ms

攻击开始,时间戳：1739515470619 ms,模式：2,目标值：6009960,持续时间：36秒
攻击开始,时间戳：1739516060760 ms,模式：2,目标值：2324524,持续时间：37秒
攻击结束,时间戳：1739516097774 ms

攻击开始,时间戳：1739516409953 ms,模式：2,目标值：6149193,持续时间：37秒
攻击结束,时间戳：1739516446967 ms

攻击开始,时间戳：1739516794100 ms,模式：3,目标值：3757929,持续时间：39秒
攻击结束,时间戳：1739516833113 ms

攻击开始,时间戳：1739517253238 ms,模式：1,目标值：2038218,持续时间：26秒
攻击结束,时间戳：1739517279248 ms

攻击开始,时间戳：1739517685404 ms,模式：2,目标值：6591088,持续时间：34秒
攻击结束,时间戳：1739517719415 ms

攻击开始,时间戳：1739518121584 ms,模式：1,目标值：4781715,持续时间：32秒
攻击结束,时间戳：1739518153598 ms

攻击开始,时间戳：1739518515705 ms,模式：1,目标值：4717460,持续时间：27秒
攻击结束,时间戳：1739518542736 ms

攻击开始,时间戳：1739518849894 ms,模式：1,目标值：4399889,持续时间：28秒
攻击结束,时间戳：1739518877905 ms

攻击开始,时间戳：1739519241112 ms,模式：3,目标值：6976658,持续时间：39秒
攻击结束,时间戳：1739519280126 ms

攻击开始,时间戳：1739519647235 ms,模式：2,目标值：2675462,持续时间：32秒
攻击结束,时间戳：1739519679245 ms

攻击开始,时间戳：1739519962346 ms,模式：3,目标值：7885112,持续时间：35秒
攻击结束,时间戳：1739519997358 ms

攻击开始,时间戳：1739520561649 ms,模式：2,目标值：2908385,持续时间：20秒
攻击结束,时间戳：1739520581656 ms

攻击开始,时间戳：1739521046804 ms,模式：2,目标值：3870077,持续时间：32秒
攻击结束,时间戳：1739521078816 ms

攻击开始,时间戳：1739521375937 ms,模式：1,目标值：4140859,持续时间：32秒
攻击结束,时间戳：1739521407951 ms

攻击开始,时间戳：1739521716103 ms,模式：1,目标值：7625706,持续时间：31秒
攻击结束,时间戳：1739521747116 ms

攻击开始,时间戳：1739522058234 ms,模式：2,目标值：6564558,持续时间：33秒
攻击结束,时间戳：1739522091244 ms

攻击开始,时间戳：1739522650455 ms,模式：1,目标值：4551100,持续时间：26秒
攻击结束,时间戳：1739522676465 ms

攻击开始,时间戳：1739523130739 ms,模式：3,目标值：6009681,持续时间：27秒
攻击结束,时间戳：1739523157750 ms

攻击开始,时间戳：1739523459857 ms,模式：1,目标值：3005442,持续时间：30秒
攻击结束,时间戳：1739523490006 ms

攻击开始,时间戳：1739523941217 ms,模式：2,目标值：7949772,持续时间：25秒
攻击结束,时间戳：1739523966226 ms

攻击开始,时间戳：1739524343380 ms,模式：1,目标值：7285848,持续时间：38秒
攻击结束,时间戳：1739524381392 ms

攻击开始,时间戳：1739524754555 ms,模式：3,目标值：3554505,持续时间：30秒
攻击结束,时间戳：1739524784567 ms

攻击开始,时间戳：1739525273776 ms,模式：2,目标值：6906860,持续时间：38秒
攻击结束,时间戳：1739525311792 ms

攻击开始,时间戳：1739525872070 ms,模式：3,目标值：4609995,持续时间：35秒
攻击结束,时间戳：1739525907082 ms

攻击开始,时间戳：1739526451403 ms,模式：2,目标值：3457551,持续时间：22秒
攻击结束,时间戳：1739526473409 ms

攻击开始,时间戳：1739526911604 ms,模式：2,目标值：6091046,持续时间：36秒
攻击结束,时间戳：1739526947619 ms

攻击开始,时间戳：1739527386842 ms,模式：1,目标值：3045664,持续时间：24秒
攻击结束,时间戳：1739527410851 ms

攻击开始,时间戳：1739527806984 ms,模式：2,目标值：4233596,持续时间：26秒
攻击结束,时间戳：1739527832012 ms

攻击开始,时间戳：1739528188153 ms,模式：1,目标值：3696462,持续时间：36秒
攻击结束,时间戳：1739528224198 ms

攻击开始,时间戳：1739528508345 ms,模式：2,目标值：3360977,持续时间：20秒
攻击结束,时间戳：1739528528352 ms

攻击开始,时间戳：1739528972490 ms,模式：3,目标值：4620116,持续时间：37秒
攻击结束,时间戳：1739529009502 ms

攻击开始,时间戳：1739529306619 ms,模式：1,目标值：5737324,持续时间：29秒
攻击结束,时间戳：1739529335630 ms

攻击开始,时间戳：1739529676785 ms,模式：1,目标值：2040810,持续时间：30秒
攻击结束,时间戳：1739529706799 ms

攻击开始,时间戳：1739530144970 ms,模式：3,目标值：4350870,持续时间：27秒
攻击结束,时间戳：1739530171978 ms

攻击开始,时间戳：1739530452064 ms,模式：3,目标值：3068721,持续时间：33秒
攻击结束,时间戳：1739530485076 ms

攻击开始,时间戳：1739530952348 ms,模式：2,目标值：5820319,持续时间：39秒
攻击结束,时间戳：1739530991362 ms

攻击开始,时间戳：1739531429507 ms,模式：3,目标值：2605029,持续时间：29秒
攻击结束,时间戳：1739531458517 ms

攻击开始,时间戳：1739531761709 ms,模式：2,目标值：4916205,持续时间：36秒
攻击结束,时间戳：1739531797722 ms

攻击开始,时间戳：1739532320933 ms,模式：1,目标值：2868378,持续时间：38秒
攻击结束,时间戳：1739532358948 ms

攻击开始,时间戳：1739532749094 ms,模式：2,目标值：6081961,持续时间：39秒
